id,ident,type,name,lat,lng,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
3098,GLMR,medium_airport,Spriggs Payne Airport,6.289060115814209,-10.758700370788574,25,AF,LR,LR-MO,Monrovia,yes,GLMR,MLW,,,http://en.wikipedia.org/wiki/Spriggs_Payne_Airport,
3022,FXMM,medium_airport,Moshoeshoe I International Airport,-29.462299346923828,27.552499771118164,5348,AF,LS,LS-A,Maseru,yes,FXMM,MSU,,,http://en.wikipedia.org/wiki/Moshoeshoe_I_International_Airport,
4571,LUKK,medium_airport,Chişinău International Airport,46.92770004272461,28.930999755859375,399,EU,MD,MD-C,Chişinău,yes,LUKK,KIV,,http://www.airport.md/,http://en.wikipedia.org/wiki/Chi%C5%9Fin%C4%83u_International_Airport,
6364,TFFG,medium_airport,"L'Espérance Airport",18.099899291992,-63.047199249268,7,NA,MF,MF-U-A,Grand Case,yes,TFFG,SFG,,,http://en.wikipedia.org/wiki/Grand_Case_Airport,"Aérodrome de Grand-Case Espérance, CCE"
2908,FMMI,medium_airport,Ivato Airport,-18.7968997955,47.4788017273,4198,AF,MG,MG-T,Antananarivo,yes,FMMI,TNR,,,http://en.wikipedia.org/wiki/Ivato_Airport,
5488,PKMJ,medium_airport,Marshall Islands International Airport,7.064760208129883,171.27200317382812,6,OC,MH,MH-MAJ,Majuro Atoll,yes,PKMJ,MAJ,MAJ,,http://en.wikipedia.org/wiki/Marshall_Islands_International_Airport,
4573,LWSK,medium_airport,Skopje Alexander the Great Airport,41.961601,21.621401,781,EU,MK,MK-004,Skopje,yes,LWSK,SKP,,http://skp.airports.com.mk/,http://en.wikipedia.org/wiki/Skopje_Airport,
3069,GAMB,medium_airport,Mopti Airport,14.5128002167,-4.0795598030099995,906,AF,ML,ML-5,,yes,GAMB,MZI,,,http://en.wikipedia.org/wiki/Mopti_Airport,Ambodedjo Airport
27212,ZMUB,medium_airport,Chinggis Khaan International Airport,47.843101501464844,106.76699829101562,4364,AS,MN,MN-1,Ulan Bator,yes,ZMUB,ULN,,,http://en.wikipedia.org/wiki/Chinggis_Khaan_International_Airport,"Genghis Khan, Buyant Ukhaa Airport"
5431,PGSN,medium_airport,Saipan International Airport,15.119000434899998,145.729003906,215,OC,MP,MP-U-A,Saipan Island,yes,PGSN,SPN,GSN,,http://en.wikipedia.org/wiki/Saipan_International_Airport,Francisco C. Ada
6363,TFFF,medium_airport,Martinique Aimé Césaire International Airport,14.590999603271484,-61.00320053100586,16,NA,MQ,MQ-U-A,Fort-de-France,yes,TFFF,FDF,,http://www.martinique.aeroport.fr/,http://en.wikipedia.org/wiki/Martinique_Aim%C3%A9_C%C3%A9saire_International_Airport,Le Lamentin Airport
43074,TRPG,medium_airport,John A. Osborne Airport,16.791400909423828,-62.19329833984375,550,NA,MS,MS-U-A,"Gerald's Park",yes,TRPG,MNI,,,http://en.wikipedia.org/wiki/John_A._Osborne_Airport,"Gerald's Airport"
3018,FWKI,medium_airport,Lilongwe International Airport,-13.7894001007,33.78099823,4035,AF,MW,MW-LI,Lilongwe,yes,FWKI,LLW,,,http://en.wikipedia.org/wiki/Lilongwe_International_Airport,"FWLI, Kamuzu International Airport"
27301,BCW,medium_airport,Benguera Island Airport,-21.853300094604492,35.43830108642578,,AF,MZ,MZ-I,Benguera Island,yes,,BCW,,,http://en.wikipedia.org/wiki/Benguera_Island_Airport,
3038,FYWE,medium_airport,Eros Airport,-22.612199783325195,17.080400466918945,5575,AF,NA,NA-KH,Windhoek,yes,FYWE,ERS,,,http://en.wikipedia.org/wiki/Eros_Airport,
5017,NWWM,medium_airport,Nouméa Magenta Airport,-22.25830078125,166.47300720214844,10,OC,NC,NC-U-A,Nouméa,yes,NWWM,GEA,,,http://en.wikipedia.org/wiki/Noum%C3%A9a_Magenta_Airport,"l'Aéroport de Nouméa Magenta"
2125,DRRN,medium_airport,Diori Hamani International Airport,13.481499671936035,2.183609962463379,732,AF,NE,NE-8,Niamey,yes,DRRN,NIM,,,http://en.wikipedia.org/wiki/Diori_Hamani_International_Airport,
27141,YSNF,medium_airport,Norfolk Island International Airport,-29.04159927368164,167.93899536132812,371,OC,NF,NF-U-A,Burnt Pine,yes,YSNF,NLK,,http://www.airport.gov.nf/,http://en.wikipedia.org/wiki/Norfolk_Island_Airport,
4774,MNMG,medium_airport,Augusto C. Sandino (Managua) International Airport,12.141500473022461,-86.16819763183594,194,NA,NI,NI-MN,Managua,yes,MNMG,MGA,,,http://en.wikipedia.org/wiki/Augusto_C._Sandino_International_Airport,
